SESSIONKEY,USERID,AGENTLOCATIONID,SESSIONSTARTDATE,LASTTXNDATE,SESSIONDATELOCAL,FUNCTIONID,LOGINKEY,REMOTEADDRESS,TXNREFNO,SESSIONSTATUS,SESSIONDATELOCALLASTACCSSED,OTPNO
om18283045613830,10005amalt,784101,10/10/18 12:56,10/10/18 12:56,10/10/18 16:56,7006,1883246179626850,10.45.0.210, ,1,10/10/18 16:56,
ng18283045631225,10005amalt,784101,10/10/18 12:56,10/10/18 12:56,10/10/18 16:56,7006,1883246179626850,10.45.0.210, ,1,10/10/18 16:56,
mf18296101955601,10005amalt,784101,23/10/18 06:19,23/10/18 06:19,23/10/18 10:19,7006,1896701814576930,10.45.0.163, ,1,23/10/18 10:19,
xv18296111433080,10005amalt,784101,23/10/18 07:14,23/10/18 07:14,23/10/18 11:14,7006,1896833784085940,10.45.0.173, ,1,23/10/18 11:14,
hj18296111611189,10005amalt,784101,23/10/18 07:16,23/10/18 07:16,23/10/18 11:16,7006,1896833784085940,10.45.0.173, ,1,23/10/18 11:16,
yd18296112419269,10005amalt,784101,23/10/18 07:24,23/10/18 07:24,23/10/18 11:24,7006,1896200548149980,10.45.0.163, ,1,23/10/18 11:24,
xq18296121220814,10005amalt,784101,23/10/18 08:12,23/10/18 08:12,23/10/18 12:12,7006,1896200548149980,10.45.0.163, ,1,23/10/18 12:12,
zc18296121246960,10005amalt,784101,23/10/18 08:12,23/10/18 08:12,23/10/18 12:12,7006,1896200548149980,10.45.0.163, ,1,23/10/18 12:12,
vk18297054941133,10005smithas,356260,05/09/18 13:49,05/09/18 13:49,05/09/18 19:19,7003,1897456480227930,172.30.20.149, ,1,05/09/18 19:19,
vr18297055349305,10005smithas,356260,05/09/18 13:53,05/09/18 13:53,05/09/18 19:23,7003,1897456480227930,172.30.20.149, ,1,05/09/18 19:23,
np18297055352020,10005smithas,356260,05/09/18 13:53,05/09/18 13:53,05/09/18 19:23,7003,1897456480227930,172.30.20.149, ,1,05/09/18 19:23,
re18297055428374,10005smithas,356260,05/09/18 13:54,05/09/18 13:54,05/09/18 19:24,7003,1897456480227930,172.30.20.149, ,1,05/09/18 19:24,
oj18282115545490,10005shejin,356175,05/10/18 07:55,05/10/18 07:55,05/10/18 13:25,7003,1882174300790820,10.45.0.191, ,1,05/10/18 13:25,
op18248042031494,10005bibins,784101,05/09/18 12:20,05/09/18 12:20,05/09/18 16:20,6120,1848615286981550,10.45.0.151, ,1,05/09/18 16:20,
vw18248043719812,10005bibins,784101,05/09/18 12:37,05/09/18 12:37,05/09/18 16:37,6120,1848615286981550,10.45.0.151, ,1,05/09/18 16:37,
su18248044033295,10005bibins,300001,05/09/18 12:40,05/09/18 12:40,05/09/18 16:40,6120,1848460649869950,10.45.0.151, ,1,05/09/18 16:40,
ai18248034426750,10005bibins,784101,05/09/18 11:44,05/09/18 11:44,05/09/18 15:44,6120,1848615286981550,10.45.0.151, ,1,05/09/18 15:44,
wz18253104649083,10005bibins,300001,10/09/18 06:46,10/09/18 06:46,10/09/18 10:46,6120,1853294733373930,10.45.0.151, ,1,10/09/18 10:46,
eu18278022045604,10005ajithm,356260,05/09/18 10:20,05/09/18 10:20,05/09/18 15:50,6114,1878920468380350,10.45.0.152, ,1,05/09/18 15:50,
pt18281104103439,10005ajithm,784101,08/10/18 06:41,08/10/18 06:41,08/10/18 10:41,6114,1881835720290380,10.45.0.152, ,1,08/10/18 10:41,
xg18281104207081,10005ajithm,784101,08/10/18 06:42,08/10/18 06:42,08/10/18 10:42,6114,1881835720290380,10.45.0.152, ,1,08/10/18 10:42,
pl18281104254909,10005ajithm,784101,08/10/18 06:42,08/10/18 06:42,08/10/18 10:42,6114,1881835720290380,10.45.0.152, ,1,08/10/18 10:42,
cj18281104309767,10005ajithm,784101,08/10/18 06:43,08/10/18 06:43,08/10/18 10:43,6114,1881835720290380,10.45.0.152, ,1,08/10/18 10:43,
bi18281104310241,10005ajithm,784101,08/10/18 06:43,08/10/18 06:43,08/10/18 10:43,6114,1881835720290380,10.45.0.152, ,1,08/10/18 10:43,
mq18281104327926,10005ajithm,784101,08/10/18 06:43,08/10/18 06:43,08/10/18 10:43,6114,1881835720290380,10.45.0.152, ,1,08/10/18 10:43,
yt18281104543668,10005ajithm,784198,08/10/18 06:45,08/10/18 06:45,08/10/18 10:45,6114,1881554404974830,10.45.0.152, ,1,08/10/18 10:45,
dp18282122710134,10005ajithm,356175,05/10/18 08:27,05/10/18 08:27,05/10/18 13:57,6114,1882583945743160,10.45.0.152, ,1,05/10/18 13:57,
vf18282122723270,10005ajithm,356175,05/10/18 08:27,05/10/18 08:27,05/10/18 13:57,6114,1882583945743160,10.45.0.152, ,1,05/10/18 13:57,
zc18277111919448,10005divyas,784101,04/10/18 07:19,04/10/18 07:19,04/10/18 11:19,6113,1877694040193080,10.45.0.135, ,1,04/10/18 11:19,
uq18309092806582,10005amal,634214,05/11/18 05:28,05/11/18 05:28,05/11/18 08:28,6113,1809148086237100,10.45.0.164, ,1,05/11/18 08:28,
zq18283020924453,10005amalt,784101,10/10/18 10:09,10/10/18 10:09,10/10/18 14:09,6108,1883463321555760,10.45.0.163, ,1,10/10/18 14:09,
eo18283020935920,10005amalt,784101,10/10/18 10:09,10/10/18 10:09,10/10/18 14:09,6108,1883463321555760,10.45.0.163, ,1,10/10/18 14:09,
dn18285015516944,10005amalt,784101,12/10/18 09:55,12/10/18 09:55,12/10/18 13:55,6105,1885468615826520,10.45.0.163, ,1,12/10/18 13:55,
ns18285015520808,10005amalt,784101,12/10/18 09:55,12/10/18 09:55,12/10/18 13:55,6105,1885468615826520,10.45.0.163, ,1,12/10/18 13:55,
rt18285015532762,10005amalt,784101,12/10/18 09:55,12/10/18 09:55,12/10/18 13:55,6105,1885468615826520,10.45.0.163, ,1,12/10/18 13:55,
uj18282095520942,10005amalt,784101,09/10/18 05:55,09/10/18 05:55,09/10/18 09:55,6105,1882215381342060,10.45.0.210, ,1,09/10/18 09:55,
mp18282095537710,10005amalt,784101,09/10/18 05:55,09/10/18 05:55,09/10/18 09:55,6105,1882215381342060,10.45.0.210, ,1,09/10/18 09:55,
nc18282095547436,10005amalt,784101,09/10/18 05:55,09/10/18 05:55,09/10/18 09:55,6105,1882215381342060,10.45.0.210, ,1,09/10/18 09:55,
vj18282100632606,10005divyas,784101,09/10/18 06:06,09/10/18 06:06,09/10/18 10:06,6105,1882623404697650,10.45.0.185, ,1,09/10/18 10:06,
